reg,dept,sem,sub,credit,ftrack,scode,
2019,eee,3,ELECTRIC CIRCUITS LAB,1.5,no,19EEL31,
2019,eee,3,ANALOG ELECTRONICS LAB,1.5,no,19EEL32,
2019,eee,4,NUMERICAL METHODS FOR EEE,3,no,19MAB41,
2019,eee,4,D C MACHINES AND TRANSMISSION,4,no,19EEC41,
2019,eee,4,"GENERATION,TRANSMISSION AND DISTRIBUTION",4,no,19EEC42,
2019,eee,4,DIGITAL LOGIC CIRCUITS,3,no,19EEC43,
2019,eee,4,ANALOG INTEGRATED  CIRCUITS,3,no,19EEC44,
2019,eee,4,D C MACHINES AND TRANSFORMERS LAB ,1.5,no,19EEL41,
2019,eee,4,ANALOG AND DIGITAL INTEGRATED CIRCUITS LAB,1.5,no,19EEL42,
2019,eee,5,POWER SYSTEM ANALYSIS,4,no,19EEC51,
2019,eee,5,SIGNALS AND SYSTEMS,4,no,19EEC52,
2019,eee,5,PROFESSIONAL ELECTIVE I,3,no,19EEEXX,
2019,eee,5,PROFESSIONAL ELECTIVE II,3,no,19EEEXX,
2019,eee,5,OPEN ELECTIVE I,3,no,19YYPXX,
2019,eee,5,CONTROL AND INSTRUMENTATION LAB,1.5,no,19EEL51,
2019,eee,5,POWER ELECTRONICS LAB,1.5,no,19EEL52,
2019,eee,5,MINI PROJECT,3,no,19EEZ01,
2019,eee,6,CONTROL SYSTEMS,4,no,19EEG61,
2019,eee,6,A C MACHINES,4,no,19EEC61,
2019,eee,6,POWER ELECTRONICS,3,no,19EEC62,
2019,eee,6,MICRO PROCESSOR AND MICROCONTROLLER,3,no,19EEC63,
2019,eee,6,PROFESSIONAL ELECTIVE III,3,no,19EEEXX,
2019,eee,6,A C MACHINES LAB,1.5,no,19EEL61,
2019,eee,6,MICROCONTROLLER LAB,1.5,no,19EEL62,
2019,eee,6,TECHNICAL SEMINAR ,1.5,no,19EEZ02,
2019,eee,7,INDUSTRIAL MANAGEMENT,3,no,19EEH71,
2019,eee,7,POWER SYSTEM PROTECTION AND SWITCHGEAR,3,no,19EEC72,
2019,eee,7,PROFESSIONAL ELECTIVE IV,3,no,19EEEXX,
2019,eee,7,PROFESSIONAL ELECTIVE V,3,no,19EEEXX,
2019,eee,7,PROFESSIONAL ELECTIVE VI,3,no,19EEEXX,
2019,eee,7,OPEN ELECTIVE II,3,no,19YYPXX,
2019,eee,7,POWER SYSTEMS LAB,1.5,no,19EEL71,
2019,eee,7,COMPREHENSIVE VIVA,1.5,no,19EEL72,
2019,eee,8,PROFESSIONAL ELECTIVE VII,3,no,19EEEXX,
2019,eee,8,PROFESSIONAL ELECTIVE VIII,3,no,19EEEXX,
2019,eee,8,OPEN ELECTIVE III,3,no,19YYPXX,
2019,eee,8,PROJECT WORK,10,no,19EEZ03,
2019,civil,1,COMMUNICATIVE ENGLISH,3,no,19ENH11,
2019,civil,1,MATHEMATICS I,4,no,19MAB12,
2019,civil,1,PHYSICS: PROPERTIES OF MATERIALS AND MECHANICS,4,no,19PHB13,
2019,civil,1,BASIC ELECTRICAL AND ELECTRONICS ENGINEERING,4,no,19EEG16,
2019,civil,1,PHYSICS LAB,1.5,no,19PHL17,
2019,civil,1,WORKSHOP PRACTICE LAB,2,no,19MEL18,
2019,civil,2,CHEMISTRY,4,no,19CHB21,
2019,civil,2,MATHEMATICS II,4,no,19MAB22,
2019,civil,2,PYTHON PROGRAMMING,3,no,19CSG23,
2019,civil,2,ENGINEERING GRAPHICS,3,no,19MEG24,
2019,civil,2,CHEMISTRY LAB,1.5,no,19CHL26,
2019,civil,2,PYTHON PROGRAMMING LAB,1.5,no,19CSL27,
2019,civil,3,MATHEMATICS III,4,no,19CEB31,
2019,civil,3,INTRODUTION TO MECHANICS,3,no,19CEB32,
2019,civil,3,SOLID MECHANICS I,4,no,19CEG31,
2019,civil,3,"PROFESSIONAL PRACTICES,ETHICS AND BUILDING BY LAWS",3,no,19CEH31,
2019,civil,3,SURVEYING I,3,no,19CEC31,
2019,civil,3,SCIENCE OF BUILDING MATERIALS,3,no,19CEB33,
2019,civil,3,SURVEY LAB I,1.5,no,19CEL31,
2019,civil,3,STRENGTH OF MATERIALS LAB,1.5,no,19CEL32,
2019,civil,4,SOLID MECHANICS II,4,no,19CEG41,
2019,civil,4,HIGHWAY ENGINEERING,3,no,19CEC41,
2019,civil,4,FLUID MECHANICS,4,no,19CEG42,
2019,civil,4,SOIL MECHANICS,3,no,19CEC42,
2019,civil,4,SURVEYING II,3,no,19CEC43,
2019,civil,4,COMPUTER AIDED CIVIL ENGINEERING DRAWING,1.5,no,19CEL41,
2019,civil,4,SURVEY LAB II,1.5,no,19CEL42,
2019,civil,4,SOIL MECHANICS LAB,1.5,no,19CEL43,
2019,civil,5,STRUCTURAL ANALYSIS I,4,no,19CEC51,
2019,civil,5,DESIGN OF RC ELEMENTS,4,no,19CEC52,
2019,civil,5,IRRIGATION ENGINEERING AND HYDRAULIC STRUCTURES,3,no,19CEC53,
2019,civil,5,ENVIRONMENTAL ENGINEERING I,3,no,19CEC54,
2019,civil,5,FOUNDATION ENGINEERING,3,no,19CEC55,
2019,civil,5,ELECTIVE I,3,no,19CEEXX,
2019,civil,5,ENVIRONMENTAL ENGINEERING LAB,1.5,no,19CEL51,
2019,civil,5,BUILDING MATERIALS LAB,1.5,no,19CEL52,
2019,civil,6,STRUCTURAL ANALYSIS II,4,no,19CEC61,
2019,civil,6,ENVIRONMENTAL ENGINEERING II,3,no,19CEC62,
2019,civil,6,DESIGN OF RC STRUCTURES AND MASONRY,4,no,19CEC63,
2019,civil,6,APPLIED HYDRAULICS AND FLUID MACHINERY,3,no,19CEC64,
2019,civil,6,ELECTIVE II,3,no,19CEE6X,
2019,civil,6,OPEN ELECTIVE I,3,no,19CEPXX,
2019,civil,6,FLUID MECHANICS AND MACHINERY LAB,1.5,no,19CEL61,
2019,civil,6,IRRIGATION AND ENVIRONMENTAL ENGINEERING DRAWING,1.5,no,19CEL62,
2019,civil,6,INDUSTRIAL INTERNSHIP I,1,no,19CEZ61,
2019,civil,7,CONSTRUCTION MANAGEMENT,3,no,19CEH71,
2019,civil,7,ESTIMATION AND COSTING,3,no,19CEC71,
2019,civil,7,ELECTIVE III,3,no,19CEE7X,
2019,civil,7,ELECTIVE IV,3,no,19CEE7X,
2019,civil,7,OPEN ELECTIVE II,3,no,19CEPXX,
2019,civil,7,DESIGN AND DRAWING FOR RC AND STEEL STRUCTURES WITH SOFTWARE APP,1.5,no,19CEL71,
2019,civil,7,PROJECT WORK I,3.5,no,19CEZ71,
2019,civil,7,INDUSTRIAL INTERNSHIP II,1,no,19CEZ72,
2019,civil,8,ELECTIVE V,3,no,19CEE8X,
2019,civil,8,ELECTIVE VI,3,no,19CEE8X,
2019,civil,8,ELECTIVE VII,3,no,19CEE8X,
2019,civil,8,PROJECT WORK II,8,no,19CEZ81,
2019,mech,3,YOGA FOR HUMAN EXCELLENCE(NC),0.01,no,19MEM31,
2019,mech,5,SOFT SKILLS AND EMPLOYEMENT TRAINING(NC),0.01,no,19CEZ51,
2019,mech,7,ENVIRONMENTAL SCIENCE AND ENGINEERING(NC),0.01,no,19CHM31,
2019,ece,3,ENVIRONMENTAL SCIENCE AND ENGINEERING(NC),0.01,no,19CHM31,
2019,ece,5,"SOFT SKILLS AND EMPLOYEMENT TRAINING,ENHANCEMENT AND TRAINING(NC)",0.01,no,19CEZ51,
2019,ece,6,INDIAN CONSTITUTION(NC),0.01,no,19ECM61,
2019,cse,3,ENVIRONMENTAL SCIENCE AND ENGINEERING(NC),0.01,no,19CHM31,
2019,cse,6,SOFT SKILLS AND EMPLOYEMENT TRAINING(NC),0.01,no,19CEZ51,
2019,civil,4,DISASTER MANAGEMENT AND MITIGATION(NC),0.01,no,19CEM41,
2019,civil,5,SOFT SKILLS AND EMPLOYEMENT TRAINING(NC),0.01,no,19CEM51,
2019,civil,6,CONSTITUTION OF INDIA(NC),0.01,no,19CEM61,
2019,eee,3,ENVIRONMENTAL SCIENCE AND ENGINEERING(NC),0.01,no,19CHM31,
2019,eee,5,SOFT SKILLS AND EMPLOYEMENT TRAINING(NC),0.01,no,19CEZ51,
2019,mech,5,FASTRACK SUBJECT,3,yes,19MEEXX,
2019,mech,6,FASTRACK SUBJECT,3,yes,19MEEXX,
2019,mech,7,FASTRACK SUBJECT,3,yes,19MEEXX,
2019,ece,5,FASTRACK SUBJECT,3,yes,19ECEXX,
2019,ece,6,FASTRACK SUBJECT,3,yes,19ECEXX,
2019,ece,7,FASTRACK SUBJECT,3,yes,19ECEXX,
2019,cse,5,FASTRACK SUBJECT,3,yes,19CSEXX,
2019,cse,6,FASTRACK SUBJECT,3,yes,19CSEXX,
2019,cse,7,FASTRACK SUBJECT,3,yes,19CSEXX,
2019,civil,5,FASTRACK SUBJECT,3,yes,19CEEXX,
2019,civil,6,FASTRACK SUBJECT,3,yes,19CEEXX,
2019,civil,7,FASTRACK SUBJECT,3,yes,19CEEXX,
2019,eee,5,FASTRACK SUBJECT,3,yes,19EEEXX,
2019,eee,6,FASTRACK SUBJECT,3,yes,19EEEXX,
2019,eee,7,FASTRACK SUBJECT,3,yes,19EEEXX,
